Comments,Surrounding Code Context,Class
Transforms a function operating on strings/words to one operating on numeric indices,"def conjugate(self, f): return lambda i: self.word_index[f(self.index_word[i])]",Useful
"Splits the dataset into test, validation, and training sets based on repository IDs",test = empty | df.repo_id.map(test_repos.__contains__) valid = ~empty & df.repo_id.map(valid_repos.__contains__) train = ~valid & ~test,Useful
Calculates the Levenshtein distance between two sequences,"fn calculate_levenshtein_distance<T: Eq>(s1: &[T], s2: &[T]) -> usize { let len_s1 = s1.len(); let len_s2 = s2.len(); let mut matrix: Vec<Vec<usize>> = vec![vec![0; len_s2 + 1]; len_s1 + 1]; for i in 0..=len_s1 { matrix[i][0] = i; } for j in 0..=len_s2 { matrix[0][j] = j; } for (i, item1) in s1.iter().enumerate() { for (j, item2) in s2.iter().enumerate() { let cost = if item1 == item2 { 0 } else { 1 }; matrix[i + 1][j + 1] = [matrix[i][j + 1] + 1, matrix[i + 1][j] + 1, matrix[i][j] + cost].iter().min().unwrap().clone(); } } matrix[len_s1][len_s2] }",Useful
Creates a memoized version of a function to cache results,"const memoize = (fn) => { const cache = new Map(); return (...args) => { const key = JSON.stringify(args); if (cache.has(key)) return cache.get(key); const result = fn.apply(this, args); cache.set(key, result); return result; }; };",Useful
Implements a thread-safe queue using mutex and condition variable,"template<typename T> class ThreadSafeQueue { private: std::queue<T> queue; mutable std::mutex mutex; std::condition_variable cond; public: void push(T item) { std::lock_guard<std::mutex> lock(mutex); queue.push(std::move(item)); cond.notify_one(); } T pop() { std::unique_lock<std::mutex> lock(mutex); cond.wait(lock, [this]{ return !queue.empty(); }); T item = std::move(queue.front()); queue.pop(); return item; } };",Useful
Defines a coroutine decorator and a grep coroutine for pattern matching,"def coroutine(func): def start(*args, **kwargs): cr = func(*args, **kwargs) next(cr) return cr return start @coroutine def grep(pattern): print(f""Looking for {pattern}"") while True: line = yield if pattern in line: print(line)",Useful
Implements the merge sort algorithm in Rust,fn merge_sort<T: Ord + Clone>(arr: &mut [T]) { if arr.len() <= 1 { return; } let mid = arr.len() / 2; merge_sort(&mut arr[..mid]); merge_sort(&mut arr[mid..]); let mut left = arr[..mid].to_vec(); let mut right = arr[mid..].to_vec(); let mut i = 0; let mut j = 0; let mut k = 0; while i < left.len() && j < right.len() { if left[i] <= right[j] { arr[k] = left[i].clone(); i += 1; } else { arr[k] = right[j].clone(); j += 1; } k += 1; } while i < left.len() { arr[k] = left[i].clone(); i += 1; k += 1; } while j < right.len() { arr[k] = right[j].clone(); j += 1; k += 1; } },Useful
Implements a Least Recently Used (LRU) cache,"class LRUCache: def __init__(self, capacity: int): self.capacity = capacity self.cache = {} self.order = collections.deque() def get(self, key: int) -> int: if key not in self.cache: return -1 self.order.remove(key) self.order.appendleft(key) return self.cache[key] def put(self, key: int, value: int) -> None: if key in self.cache: self.order.remove(key) elif len(self.cache) >= self.capacity: oldest = self.order.pop() del self.cache[oldest] self.cache[key] = value self.order.appendleft(key)",Useful
Implements function currying in JavaScript,"const curry = (fn) => { const arity = fn.length; return function curried(...args) { if (args.length >= arity) { return fn.apply(this, args); } else { return function(...moreArgs) { return curried.apply(this, args.concat(moreArgs)); }; } }; };",Useful
Implements a shared pointer class in C++,"template <typename T> class SharedPtr { private: T* ptr; int* refCount; public: SharedPtr(T* p = nullptr) : ptr(p), refCount(new int(1)) {} SharedPtr(const SharedPtr& other) : ptr(other.ptr), refCount(other.refCount) { (*refCount)++; } SharedPtr& operator=(const SharedPtr& other) { if (this != &other) { release(); ptr = other.ptr; refCount = other.refCount; (*refCount)++; } return *this; } ~SharedPtr() { release(); } T& operator*() const { return *ptr; } T* operator->() const { return ptr; } private: void release() { if (--(*refCount) == 0) { delete ptr; delete refCount; } } };",Useful
Implements an exponential backoff retry mechanism for asynchronous functions,"async function retryWithBackoff(fn, maxRetries = 5, baseDelay = 1000) { for (let i = 0; i < maxRetries; i++) { try { return await fn(); } catch (error) { if (i === maxRetries - 1) throw error; const delay = baseDelay * Math.pow(2, i); await new Promise(resolve => setTimeout(resolve, delay)); } } }",Useful
Performs a topological sort on a directed acyclic graph,def topological_sort(graph): def dfs(node): if node in visited: return visited.add(node) for neighbor in graph[node]: dfs(neighbor) result.append(node) visited = set() result = [] for node in graph: dfs(node) return result[::-1],Useful
Implements the quicksort algorithm in Rust,"fn quicksort<T: Ord>(arr: &mut [T]) { if arr.len() <= 1 { return; } let pivot = partition(arr); quicksort(&mut arr[..pivot]); quicksort(&mut arr[pivot + 1..]); } fn partition<T: Ord>(arr: &mut [T]) -> usize { let pivot = arr.len() - 1; let mut i = 0; for j in 0..pivot { if arr[j] <= arr[pivot] { arr.swap(i, j); i += 1; } } arr.swap(i, pivot); i }",Useful
Implements the Observer pattern in JavaScript,class Observable { constructor() { this.observers = []; } subscribe(fn) { this.observers.push(fn); } unsubscribe(fn) { this.observers = this.observers.filter(subscriber => subscriber !== fn); } notify(data) { this.observers.forEach(observer => observer(data)); } },Useful
Implements a fixed-size circular buffer in C++,"template <typename T, size_t N> class FixedCircularBuffer { private: std::array<T, N> buffer; size_t head = 0; size_t tail = 0; bool full = false; public: void push(const T& item) { buffer[head] = item; if (full) { tail = (tail + 1) % N; } head = (head + 1) % N; full = head == tail; } T pop() { if (empty()) { throw std::runtime_error(""Buffer is empty""); } T item = buffer[tail]; full = false; tail = (tail + 1) % N; return item; } bool empty() const { return (!full && (head == tail)); } bool full() const { return full; } size_t size() const { if (full) { return N; } if (head >= tail) { return head - tail; } return N + head - tail; } };",Useful
Calculates the length of the Longest Common Subsequence (LCS) of two sequences,"def lcs(X, Y): m, n = len(X), len(Y) L = [[0] * (n + 1) for _ in range(m + 1)] for i in range(1, m + 1): for j in range(1, n + 1): if X[i-1] == Y[j-1]: L[i][j] = L[i-1][j-1] + 1 else: L[i][j] = max(L[i-1][j], L[i][j-1]) return L[m][n]",Useful
Implements primality test and Sieve of Eratosthenes for prime number generation,fn is_prime(n: u64) -> bool { if n <= 1 { return false; } if n <= 3 { return true; } if n % 2 == 0 || n % 3 == 0 { return false; } let mut i = 5; while i * i <= n { if n % i == 0 || n % (i + 2) == 0 { return false; } i += 6; } true } fn sieve_of_eratosthenes(n: usize) -> Vec<bool> { let mut is_prime = vec![true; n + 1]; is_prime[0] = false; is_prime[1] = false; let mut p = 2; while p * p <= n { if is_prime[p] { let mut i = p * p; while i <= n { is_prime[i] = false; i += p; } } p += 1; } is_prime },Useful
Implements a Trie data structure for efficient string operations,"class Trie: def __init__(self): self.root = {} def insert(self, word: str) -> None: node = self.root for char in word: if char not in node: node[char] = {} node = node[char] node['$'] = True def search(self, word: str) -> bool: node = self.root for char in word: if char not in node: return False node = node[char] return '$' in node def startsWith(self, prefix: str) -> bool: node = self.root for char in prefix: if char not in node: return False node = node[char] return True",Useful
Implements a debounce function to limit the rate at which a function can fire,"const debounce = (func, delay) => { let timeoutId; return function (...args) { clearTimeout(timeoutId); timeoutId = setTimeout(() => { func.apply(this, args); }, delay); }; };",Useful
